"Step","UnsupervisedLearning1 - Loss/train","UnsupervisedLearning1 - Loss/train__MIN","UnsupervisedLearning1 - Loss/train__MAX"
"84","-12.775380978981653","-12.775380978981653","-12.775380978981653"
"85","-12.779505560795466","-12.779505560795466","-12.779505560795466"
"86","-12.790549576282501","-12.790549576282501","-12.790549576282501"
"87","-12.784746199846268","-12.784746199846268","-12.784746199846268"
"88","-12.784506519635519","-12.784506519635519","-12.784506519635519"
"89","-12.783112982908884","-12.783112982908884","-12.783112982908884"
"90","-12.78648399313291","-12.78648399313291","-12.78648399313291"
"91","-12.787141640981039","-12.787141640981039","-12.787141640981039"
"92","-12.77957241733869","-12.77957241733869","-12.77957241733869"
"93","-12.783942510684332","-12.783942510684332","-12.783942510684332"
"94","-12.786393264929453","-12.786393264929453","-12.786393264929453"
"95","-12.794276028871536","-12.794276028871536","-12.794276028871536"
"96","-12.790382087230682","-12.790382087230682","-12.790382087230682"
"97","-12.789902041355768","-12.789902041355768","-12.789902041355768"
"98","-12.789409081141153","-12.789409081141153","-12.789409081141153"
"99","-12.795339812835058","-12.795339812835058","-12.795339812835058"
"100","-12.79023770491282","-12.79023770491282","-12.79023770491282"
